City,State,Region,Estimated Attendance,Region Size
Wheeling,West Virgnia,Akron District ,297,"3,275"
Youngstown,Ohio,Akron District ,297,"3,275"
Detroit,Michigan,Detroit District ,325,"1,951"
Ann Arbor,Michigan,Detroit District ,325,"1,951"
Grand Rapids,Michigan,Detroit District ,325,"1,951"
Midland,Michigan,Detroit District ,325,"1,951"
South Bend,Michigan,Detroit District ,325,"1,951"
Toledo,Ohio,Detroit District ,325,"1,951"
Chicago,Illinois,Chicago District ,604,"3,631"
Danville,Indiana,Chicago District ,302,"3,631"
Duluth,Minnesota,Chicago District ,302,"3,631"
Fort Wayne,Indiana,Chicago District ,302,"3,631"
Indianapolis,Indiana,Chicago District ,302,"3,631"
La Grange,Wisconsin,Chicago District ,302,"3,631"
Milwaukee,Wisconsin,Chicago District ,302,"3,631"
Minneapolis,Minnesota,Chicago District ,302,"3,631"
Peoria,Illinois,Chicago District ,302,"3,631"
Richland Center,Wisconsin,Chicago District ,302,"3,631"
Canada,,International,,"1,834"
United Kingdom,,International,,"1,313"
France,,International,,160
Germany,,International,,155
Australia,,International,,"1,375"
South Africa,,International,,274
